Title, Lu, Jerry, Joe,Prerequisite
Practice Class 01, 10, 8, 6,Class 01
Practice Class 02, 10, 8, 6,
Practice Class 03, 10, 8, 6,Class 02
Practice Class 04, 10, 8, 6,
Practice Class 05, 10, 8, 6,
Practice Class 06, 10, 8, 6,
Practice Class 07, 10, 8, 6,Class 05
Practice Class 08, 10, 8, 6,
Practice Class 09, 10, 8, 6,
Practice Class 10, 10, 8, 6,
Practice Class 11, 10, 8, 6,
Practice Class 12, 10, 8, 6,
Practice Class 13, 10, 8, 6,
Practice Class 14, 10, 8, 6,
Practice Class 15, 10, 8, 6,Class 12
Practice Class 16, 10, 8, 6,
Practice Class 17, 10, 8, 6,
Practice Class 18, 10, 8, 6,Class 17
Practice Class 19, 10, 8, 6,
Practice Class 20, 10, 8, 6,
Practice Class 21, 10, 8, 6,
Practice Class 22, 10, 8, 6,
Practice Class 23, 10, 8, 6,
Practice Class 24, 10, 8, 6,
Practice Class 25, 10, 8, 6,
Practice Class 26, 10, 8, 6,
Practice Class 27, 10, 8, 6,
Practice Class 28, 10, 8, 6,
Practice Class 29, 10, 8, 6,
Practice Class 30, 10, 8, 6,